questions,model_answer,student_answer,teacher_marks,total_marks
Give two examples of insulators.,Plastic and rubber.,Plastic wood,4,5
What is a fuse?,A safety device that stops current if it gets too high.,Thing stop too much electric,3,5
What is the use of a fuse?,It protects electrical devices from damage due to excess current.,Save machine,2,5
What happens when a fuse blows?,It breaks the circuit and stops the flow of electricity.,   ,0,5
What is a magnetic material?,A material that is attracted to a magnet.,Stick to magnet,4,5
Give examples of magnetic materials.,"Iron, cobalt, and nickel.",Iron steel,4,5
What is a non-magnetic material?,A material that is not attracted to magnets.,No stick magnet,3,5
Give examples of non-magnetic materials.,"Plastic, wood, and glass.",    ,0,5
What is a magnet?,An object that attracts materials like iron.,Thing pull metal,3,5
What are the poles of a magnet?,The two ends of a magnet: north and south poles.,Top bottom,2,5
What happens when you bring like poles together?,They repel each other.,Push away,4,5
What happens when you bring opposite poles together?,They attract each other.,Come together,4,5
What are the properties of magnets?,"Magnets attract iron, have two poles, and show force of attraction or repulsion.",Pull push metal,3,5
What is a magnetic field?,The area around a magnet where magnetic force is felt.,  ,0,5
What tool is used to detect magnetic direction?,Magnetic compass.,Direction finder,3,5
How does a magnetic compass work?,It points towards the Earths magnetic north using a small magnet.,Show north,3,5
Name two types of magnets.,Natural magnets and artificial magnets.,Big small,1,5
What is a bar magnet?,A rectangular-shaped magnet with north and south poles.,Long magnet,2,5
What is a horseshoe magnet?,A U-shaped magnet with both poles close to each other.,U magnet,3,5
What is an electromagnet?,A magnet made by passing electric current through a wire wrapped around iron.,Electric make magnet,3,5
How can you make an electromagnet?,By wrapping a wire around iron and connecting it to a battery.,Wire iron battery,4,5
Name one use of an electromagnet.,Used in electric bells and motors.,  ,0,5
What are the advantages of electromagnets?,They can be turned on or off and their strength can be controlled.,Can turn off,3,5
Is a magnet a conductor or insulator?,Magnets can be conductors if made of metal.,  ,0,5
What is the difference between static and current electricity?,Static electricity is stationary; current electricity flows.,One stay one move,2,5
What is lightning?,A natural form of static electricity.,Sky electric,3,5
What is the source of electric energy in a circuit?,A battery or power cell.,Battery,4,5
What is an electric bulb?,A device that produces light when electricity flows through it.,Make light,3,5
What material is used in electric wires?,Copper or aluminum.,  ,0,5
Why are wires covered with plastic?,Plastic is an insulator and prevents shocks.,Safe touch,3,5
What is a dry cell?,A small battery used in torches and toys.,Torch battery,4,5
What is a series circuit?,A circuit where components are connected in a single path.,One path,3,5
What is a parallel circuit?,A circuit where components are connected in multiple paths.,Many path,3,5
Which circuit keeps working if one bulb goes out?,Parallel circuit.,  ,0,5
What is a short circuit?,An unintended path of low resistance that can cause damage.,Bad electric,2,5
What are circuit symbols?,Symbols used to represent circuit components in diagrams.,Picture for parts,3,5
What is a resistor?,A device that limits the flow of electric current.,Slow electric,3,5
What is current direction in a circuit?,From positive terminal to negative terminal.,Plus to minus,4,5
What is a load in a circuit?,A device like a bulb or fan that uses electric energy.,Thing use electric,3,5
How can electricity be dangerous?,"It can cause shocks, burns, or fire.",Hurt people,3,5
What safety rule should be followed with electricity?,Never touch electric appliances with wet hands.,No wet hands,4,5
What does a magnet attract?,Iron and steel.,Metal things,3,5
How do you know if a material is magnetic?,It is pulled by a magnet.,  ,0,5
What is the use of magnets in daily life?,"Used in fridges, toys, and speakers.",Fridge doors,2,5
What happens when electricity flows through a wire?,It creates a magnetic field.,Gets hot,1,5
What device shows the presence of electric current?,A tester or an ammeter.,Ammeter,4,5
Why should we not overload an electric socket?,It can cause short circuit or fire.,Too many plugs bad,3,5
How can we stop electric current in a circuit?,By opening the switch or breaking the circuit.,Turn switch off,5,5
What is Earth?,"Earth is the planet we live on, made up of land, water, and air.",Our planet,4,5
What is the shape of Earth?,Earth is roughly spherical in shape.,Round ball,3,5
What are the main layers of the Earth?,"Crust, mantle, and core.",Outside middle inside,2,5
What is the outermost layer of Earth called?,The crust.,  ,0,5
What is below the Earths crust?,The mantle.,Hot rock,3,5
What is the innermost layer of Earth?,The core.,Center,4,5
What is the crust made of?,Solid rocks and minerals.,Rocks,4,5
What is the mantle made of?,Semi-solid rock that moves slowly.,Melted rock,3,5
What is the core made of?,Mostly iron and nickel.,Metal center,4,5
What are the two parts of the Earths core?,Outer core and inner core.,Outside and inside core,5,5
Is the inner core solid or liquid?,Solid.,Hard,3,5
Is the outer core solid or liquid?,Liquid.,Melted,4,5
What is the importance of the crust?,"It holds soil, water, plants, animals, and human life.",We live on it,2,5
What is the thickness of the Earths crust?,About 5 to 70 kilometers.,Thick outside,1,5
Which layer is the hottest?,The inner core.,Middle,2,5
Why is the mantle important?,It helps in the movement of tectonic plates.,Makes earthquakes,2,5
What is the Earths surface mostly covered with?,Water and land.,Water,4,5
What percentage of Earth is covered by water?,About 71%.,Most,2,5
What is the importance of water for life?,All living things need water to survive.,Drink,3,5
Name three uses of water.,"Drinking, cleaning, and irrigation.",Wash drink grow,5,5
What are natural sources of water?,"Rivers, lakes, oceans, rain, and glaciers.",Rain river,4,5
What is groundwater?,Water stored under the Earths surface.,Underground water,5,5
What is rainwater?,Water that falls from clouds in the form of rain.,From sky,3,5
How do we get water in homes?,Through pipes from water supply systems.,Taps,2,5
What is the importance of saving water?,To ensure future supply and protect the environment.,Not waste,3,5
What is soil?,The top layer of the Earth where plants grow.,Dirt,2,5
How is soil formed?,By the breaking down of rocks over time.,Rocks break,3,5
What are the components of soil?,"Minerals, organic matter, air, and water.",Dirt stuff,1,5
Name the main types of soil.,"Sandy, clayey, loamy, and silt.",Sand clay,3,5
What is sandy soil?,Soil with large particles that drains water quickly.,Has sand,2,5
What is clayey soil?,Soil with very small particles that holds water well.,Sticky mud,3,5
What is loamy soil?,"A mixture of sand, silt, and clay ' best for farming.",Good dirt,2,5
What is silt soil?,Fine soil particles that hold moisture well.,Soft soil,3,5
Which soil is best for growing plants?,Loamy soil.,Brown dirt,1,5
What does soil contain?,"Minerals, water, air, and organic matter.",  ,0,5
What is humus?,Decayed plant and animal matter in soil.,Dead stuff,2,5
Why is humus important?,It makes soil fertile.,Helps plants,3,5
What is soil erosion?,The removal of topsoil by wind or water.,Dirt blows,2,5
How can we prevent soil erosion?,By planting trees and using barriers.,Plant trees,4,5
What is topsoil?,The uppermost fertile layer of soil.,Good dirt,2,5
Why is soil important?,It supports plant growth and stores water.,For plants,3,5
What are the characteristics of sandy soil?,"Loose, dry, and drains quickly.",Gritty,1,5
